Project: M7_UL_JB_50_S
SKU: HTC_WWE ROM
ROM Build ID: 539149
Build ID: 539151; SKU: HTC WWE EastEurope; CID: HTC__032; MNS: 
Build ID: 539152; SKU: HTC ITA; CID: HTC__405; MNS: 
Build ID: 539153; SKU: HTC FRA; CID: HTC__203; MNS: 
Build ID: 539154; SKU: HTC RUS; CID: HTC__A07; MNS: 
Build ID: 539155; SKU: HTC Nordic; CID: HTC__Y13; MNS: 
Build ID: 539156; SKU: HTC SPA; CID: HTC__304; MNS: 
Build ID: 539157; SKU: HTC GER; CID: HTC__102; MNS: 
Build ID: 539158; SKU: HTC Dutch; CID: HTC__E11; MNS: 
Build ID: 539159; SKU: HTC WWE; CID: HTC__001; MNS: 
Build ID: 539160; SKU: HTC Arabic; CID: HTC__J15; MNS: 
Build ID: 539161; SKU: HTC WWE S.Africa; CID: HTC__016; MNS: 
Build ID: 539162; SKU: HTC_WWE EE MNS 24801; CID: ; MNS: 24801
Build ID: 539163; SKU: HTC_WWE EE OPL MNS 26003; CID: ; MNS: 26003
Build ID: 539164; SKU: HTC_WWE EE VIPnet Croatia MNS 21910; CID: ; MNS: 21910
Build ID: 539165; SKU: HTC_WWE ELL Cyprus MNS 28001; CID: ; MNS: 28001
Build ID: 539166; SKU: HTC_WWE ITA MNS 22201; CID: ; MNS: 22201
Build ID: 539167; SKU: HTC_WWE ITA MNS 22288; CID: ; MNS: 22288
Build ID: 539168; SKU: HTC_WWE ELL MNS 20210; CID: ; MNS: 20210
Build ID: 539169; SKU: HTC_WWE ELL MNS 20205; CID: ; MNS: 20205
Build ID: 539170; SKU: HTC_WWE ELL MNS 20201; CID: ; MNS: 20201
Build ID: 539171; SKU: HTC_WWE FR MNS 20810; CID: ; MNS: 20810
Build ID: 539172; SKU: HTC_WWE RUS Common MNS 250; CID: ; MNS: 250
Build ID: 539173; SKU: HTC_WWE Nordic TDC DK MNS 23801; CID: ; MNS: 23801
Build ID: 539174; SKU: HTC_WWE Nordic Tele2 Sweden MNS 24007; CID: ; MNS: 24007
Build ID: 539175; SKU: HTC_WWE Nordic Telenor Denmark MNS 23802; CID: ; MNS: 23802
Build ID: 539176; SKU: HTC_WWE Nordic Telenor Norway MNS 24201; CID: ; MNS: 24201
Build ID: 539177; SKU: HTC_WWE Nordic Telenor Sweden MNS 24008; CID: ; MNS: 24008
Build ID: 539178; SKU: HTC_WWE Nordic Telia Sweden MNS 24001; CID: ; MNS: 24001
Build ID: 539179; SKU: HTC_WWE Nordic H3G DK MNS 23806; CID: ; MNS: 23806
